cIdx,spList,medoid,prior,purity
0,"[(1,Rp),(239,Lp),(243,Rp),(244,Noth),(461,Lp),(906,Rp),(1043,Rp),(1601,Rp),(1662,Rp),(1784,Rp),(1785,Rp),(1896,Rp),(1948,Rp)]",906,Rp,0.7692308
1,"[(2,Rp),(226,Rp),(227,Rp),(228,Rp),(230,Rp),(240,Noth),(242,Rp),(706,Rp),(917,Lp),(1480,Lp)]",228,Rp,0.7
2,"[(3,Rp),(266,Rp),(283,Rp),(303,Rp),(306,Rp),(714,Rp),(759,Noth),(1076,Rp),(1090,Rp),(1092,Rp),(1094,Rp),(1170,Rp),(1448,Rp),(1463,Rp),(1540,Rp),(1543,Rp),(1563,Rp),(1929,Rp)]",1076,Rp,0.9444444
3,"[(4,Lp),(835,Lp),(920,Rp),(924,Lp),(1466,Lp),(1919,Rp)]",4,Lp,0.6666667
4,"[(5,Lp),(374,Rp),(377,Rp),(1530,Rp),(1611,Rp),(1681,Rp),(1772,Noth),(1773,Noth),(1809,Noth),(1810,Noth),(1869,Rp),(1880,Rp)]",1611,Rp,0.5833333
5,"[(6,Rp),(225,Rp),(237,Rp),(361,Noth),(463,Lp),(465,Lp),(1038,Rp),(1062,Rp),(1286,Noth),(1367,Noth),(1368,Rp),(1653,Rp),(1781,Lp),(1895,Lp),(1904,Rp)]",1895,Rp,0.53333336
6,"[(7,Rp),(11,Rp),(1068,Rp),(1255,Rp),(1450,Rp),(1614,Rp),(1616,Rp),(1654,Rp),(1655,Noth),(1774,Rp)]",1655,Rp,0.9
7,"[(8,Lp),(754,Noth)]",8,Lp,0.5
8,"[(9,Noth),(10,Noth),(516,Rp),(1786,Lp)]",9,Noth,0.5
9,"[(379,Rp),(532,Lp),(533,Lp),(704,Rp),(891,Lp),(1102,Rp),(1449,Rp),(1607,Rp),(1608,Rp),(1612,Rp),(1615,Rp),(1682,Noth),(1684,Noth),(1685,Noth),(1762,Noth),(1763,Noth),(1764,Rp),(1771,Rp),(1795,Rp),(1821,Noth),(1822,Noth),(1858,Noth),(1859,Noth),(1871,Noth),(1879,Rp),(1905,Rp)]",1607,Rp,0.5
10,"[(218,Lp),(247,Rp),(697,Rp),(955,Rp),(1256,Noth),(1257,Noth),(1258,Noth),(1259,Noth),(1469,Rp),(1471,Noth),(1508,Lp)]",1257,Noth,0.45454547
11,"[(12,Rp)]",12,Rp,1.0
12,"[(13,Rp),(16,Rp),(861,Noth)]",13,Rp,0.6666667
13,"[(14,Noth),(21,Rp),(687,Noth)]",21,Noth,0.6666667
14,"[(262,Rp),(284,Rp),(345,Rp),(347,Rp),(362,Rp),(420,Rp),(422,Rp),(431,Rp),(445,Noth),(523,Noth),(524,Noth),(530,Noth),(572,Noth),(580,Rp),(627,Noth),(632,Noth),(633,Noth),(634,Noth),(681,Noth),(683,Noth),(688,Rp),(690,Rp),(840,Noth),(903,Rp),(1025,Noth),(1077,Rp),(1156,Noth),(1280,Noth),(1494,Noth),(1544,Rp),(1927,Noth),(1930,Rp)]",262,Noth,0.53125
15,"[(276,Noth),(307,Lp),(520,Lp),(541,Lp),(558,Noth),(567,Lp),(1004,Noth),(1021,Lp),(1232,Rp),(1863,Lp),(1864,Lp)]",567,Lp,0.6363636
16,"[(15,Rp),(17,Rp),(1137,Noth),(1233,Rp)]",15,Rp,0.75
17,"[(18,Noth),(860,Lp)]",18,Lp,0.5
18,"[(19,Rp)]",19,Rp,1.0
19,"[(20,Rp),(960,Rp),(1183,Lp)]",20,Rp,0.6666667
20,"[(555,Rp),(557,Rp),(561,Noth),(575,Noth),(576,Rp),(578,Rp),(985,Noth),(986,Rp),(988,Noth),(989,Rp),(990,Noth),(995,Rp),(996,Noth)]",990,Rp,0.53846157
21,"[(22,Lp),(287,Rp),(426,Lp),(661,Noth),(666,Noth),(721,Rp),(1022,Lp),(1197,Rp),(1210,Rp),(1485,Rp),(1564,Rp),(1621,Lp),(1661,Rp),(1794,Rp),(1979,Rp),(1988,Rp)]",1988,Rp,0.625
22,"[(23,Lp),(383,Lp),(384,Lp),(511,Lp),(943,Rp),(1046,Noth),(1047,Rp),(1054,Lp),(1065,Lp),(1066,Lp),(1245,Lp),(1246,Lp),(1247,Lp),(1248,Lp),(1468,Lp),(1568,Rp),(1641,Rp),(1882,Lp),(1883,Lp),(1960,Noth),(1962,Noth),(1970,Lp),(1972,Lp)]",1883,Lp,0.6956522
23,"[(24,Lp),(219,Lp),(386,Lp),(387,Lp),(512,Lp),(648,Noth),(922,Noth),(923,Rp),(925,Lp),(926,Lp),(927,Lp),(1069,Rp),(1108,Lp),(1260,Rp),(1261,Lp),(1262,Lp),(1263,Lp),(1264,Lp),(1473,Lp),(1514,Lp),(1516,Lp),(1569,Lp),(1642,Rp),(1885,Lp),(1973,Lp)]",1569,Lp,0.76
24,"[(25,Rp),(285,Noth),(299,Rp),(315,Rp),(327,Rp),(342,Rp),(350,Rp),(396,Rp),(417,Rp),(492,Rp),(618,Rp),(913,Noth),(948,Rp),(1079,Rp),(1086,Rp),(1087,Noth),(1229,Rp),(1265,Rp),(1314,Rp),(1378,Rp),(1410,Noth),(1428,Rp),(1552,Rp),(1609,Lp),(1657,Lp),(1873,Rp),(1931,Rp),(1938,Rp)]",1086,Rp,0.78571427
25,"[(26,Rp),(424,Rp),(517,Lp),(1103,Rp),(1191,Lp),(1266,Lp),(1517,Lp),(1974,Rp)]",26,Lp,0.5
26,"[(27,Noth),(259,Rp),(279,Rp),(296,Rp),(298,Rp),(320,Noth),(321,Rp),(332,Noth),(333,Rp),(346,Rp),(399,Rp),(401,Noth),(402,Rp),(421,Rp),(519,Rp),(521,Rp),(522,Noth),(529,Rp),(746,Noth),(748,Noth),(751,Noth),(753,Noth),(781,Noth),(832,Rp),(838,Rp),(895,Rp),(900,Rp),(929,Noth),(933,Rp),(952,Rp),(971,Rp),(1024,Rp),(1050,Rp),(1085,Rp),(1124,Rp),(1152,Rp),(1192,Noth),(1209,Rp),(1269,Rp),(1279,Rp),(1425,Noth),(1493,Rp),(1528,Noth),(1529,Rp),(1560,Rp),(1787,Rp),(1921,Noth),(1925,Rp)]",929,Rp,0.6875
27,"[(28,Lp),(215,Rp),(375,Rp),(378,Rp),(691,Noth),(692,Rp),(772,Lp),(775,Lp),(828,Lp),(857,Lp),(862,Lp),(930,Lp),(931,Lp),(961,Rp),(1055,Noth),(1056,Rp),(1112,Lp),(1190,Lp),(1193,Lp),(1553,Noth),(1554,Noth),(1597,Lp),(1829,Noth),(1830,Noth),(1924,Lp),(1933,Lp),(1950,Lp),(1976,Rp)]",1112,Lp,0.53571427
28,"[(29,Lp),(286,Noth),(351,Lp),(354,Lp),(684,Rp),(701,Lp),(914,Rp),(1051,Rp),(1221,Lp),(1235,Lp),(1271,Lp),(1315,Rp),(1319,Lp),(1348,Lp),(1380,Lp),(1382,Lp),(1384,Lp),(1412,Rp),(1413,Noth),(1415,Rp),(1416,Noth),(1476,Noth),(1874,Lp),(1887,Lp),(1888,Lp),(1911,Lp)]",1887,Lp,0.61538464
29,"[(30,Lp),(173,Lp),(495,Lp),(1381,Lp),(1383,Lp),(1385,Lp)]",1383,Lp,1.0
30,"[(31,Noth),(33,Noth),(497,Noth),(698,Noth),(845,Noth),(851,Noth),(1053,Rp),(1093,Noth),(1358,Noth),(1394,Noth),(1396,Noth),(1398,Noth)]",1398,Noth,0.9166667
31,"[(716,Rp),(844,Noth),(846,Noth),(848,Rp),(850,Noth),(852,Noth),(853,Rp),(941,Lp)]",852,Noth,0.5
32,"[(750,Noth),(752,Rp),(758,Noth),(760,Rp),(800,Rp),(806,Noth),(842,Rp),(1166,Rp),(1317,Rp),(1431,Noth),(1437,Rp),(1474,Noth)]",758,Rp,0.5833333
33,"[(274,Rp),(439,Noth),(440,Rp),(446,Noth),(448,Rp),(515,Rp),(809,Noth),(824,Lp),(1028,Rp),(1031,Rp),(1163,Rp),(1180,Rp),(1282,Rp),(1371,Rp),(1510,Lp)]",1282,Rp,0.6666667
34,"[(330,Rp),(343,Rp),(418,Rp),(442,Rp),(444,Rp),(514,Rp),(535,Rp),(538,Rp),(551,Rp),(571,Rp),(579,Rp),(613,Rp),(615,Rp),(671,Rp),(679,Rp),(682,Rp),(686,Rp),(689,Rp),(1526,Rp),(1814,Rp),(1816,Noth),(1817,Rp),(1997,Rp)]",579,Rp,0.95652175
35,"[(36,Noth),(40,Rp),(229,Noth),(232,Rp),(505,Rp),(509,Rp),(696,Rp),(699,Rp),(708,Rp),(713,Rp),(723,Noth),(834,Rp),(1387,Noth),(1391,Noth),(1405,Rp),(1472,Rp)]",1391,Rp,0.6875
36,"[(275,Rp),(1032,Rp),(1164,Rp),(1214,Rp),(1283,Rp),(1503,Rp)]",1283,Rp,1.0
37,"[(38,Noth),(297,Noth),(372,Noth),(1389,Noth),(1401,Noth),(1403,Noth),(1470,Noth),(1522,Lp)]",1403,Noth,0.875
38,"[(35,Rp),(37,Rp),(39,Noth),(430,Rp),(707,Noth),(833,Rp),(1386,Rp),(1388,Rp),(1390,Noth),(1400,Rp),(1402,Noth),(1404,Noth),(1506,Lp)]",1400,Rp,0.53846157
39,"[(212,Lp),(277,Rp),(755,Noth),(765,Lp),(957,Rp),(1033,Rp),(1165,Rp),(1216,Rp),(1284,Rp),(1504,Rp),(1513,Noth),(1629,Noth)]",1284,Rp,0.5833333
40,"[(41,Lp),(700,Lp),(766,Noth),(1153,Noth),(1392,Noth),(1406,Lp),(1408,Lp)]",1406,Lp,0.5714286
41,"[(42,Lp),(278,Lp),(510,Lp),(1393,Noth),(1407,Lp),(1409,Lp)]",1409,Lp,0.8333333
42,"[(736,Lp),(737,Noth),(743,Lp),(827,Lp),(1111,Noth),(1115,Rp),(1292,Lp),(1417,Lp),(1419,Noth),(1429,Lp),(1549,Lp),(1567,Rp)]",1549,Lp,0.5833333
43,"[(44,Rp),(224,Noth),(369,Rp),(405,Lp)]",44,Rp,0.5
44,"[(595,Noth),(1134,Lp),(1135,Lp),(1154,Noth),(1155,Noth),(1270,Lp),(1935,Noth)]",1134,Noth,0.5714286
45,"[(46,Lp),(265,Lp),(294,Lp),(295,Lp),(317,Lp),(322,Noth),(324,Noth),(581,Lp),(718,Lp),(741,Lp),(742,Lp),(830,Lp),(950,Lp),(964,Noth),(1072,Noth),(1082,Lp),(1116,Lp),(1122,Noth),(1123,Lp),(1194,Lp),(1198,Lp),(1228,Noth),(1457,Lp),(1550,Lp),(1558,Lp),(1980,Lp)]",1082,Lp,0.7692308
46,"[(47,Lp),(657,Rp),(724,Rp),(947,Lp),(962,Lp),(972,Lp),(979,Lp),(980,Lp),(1026,Lp),(1064,Lp),(1070,Lp),(1109,Rp),(1118,Lp),(1129,Lp),(1131,Lp),(1161,Lp),(1285,Lp),(1531,Noth),(1534,Noth),(1535,Lp),(1537,Lp),(1953,Rp),(1954,Lp)]",972,Lp,0.73913044
47,"[(43,Lp),(48,Lp),(1080,Lp),(1362,Noth),(1978,Lp)]",1080,Lp,0.8
48,"[(49,Lp),(1231,Rp)]",49,Lp,0.5
49,"[(50,Noth),(55,Noth),(1838,Noth)]",50,Noth,1.0
50,"[(292,Rp),(500,Rp),(826,Rp),(831,Noth),(858,Rp),(875,Rp),(883,Noth),(1073,Noth),(1084,Noth),(1117,Noth),(1185,Noth),(1195,Rp),(1267,Noth),(1548,Rp),(1792,Rp),(1994,Rp)]",1117,Rp,0.5625
51,"[(1833,Noth),(1834,Noth),(1835,Noth),(1836,Noth),(1837,Rp),(1839,Noth),(1840,Noth),(1841,Noth),(1842,Noth),(1843,Rp)]",1836,Noth,0.8
52,"[(51,Noth),(53,Noth),(534,Noth),(537,Noth),(660,Noth),(729,Rp),(745,Noth),(747,Rp),(829,Rp),(881,Rp),(886,Noth),(951,Noth),(1057,Noth),(1208,Noth),(1311,Noth),(1458,Noth),(1551,Rp),(1559,Noth),(1620,Rp),(1712,Noth),(1981,Noth)]",1981,Noth,0.71428573
53,"[(629,Noth),(638,Noth),(670,Lp),(693,Lp),(778,Noth),(782,Noth),(798,Noth),(836,Noth),(872,Noth),(888,Lp),(1058,Lp),(1421,Lp),(1426,Lp),(1454,Noth),(1707,Rp),(1714,Lp),(1892,Lp)]",1426,Lp,0.47058824
54,"[(325,Lp),(1331,Noth),(1333,Noth)]",1333,Noth,0.6666667
55,"[(60,Noth),(105,Noth),(1634,Noth)]",105,Noth,1.0
56,"[(52,Noth),(57,Noth),(1484,Lp)]",57,Noth,0.6666667
57,"[(56,Noth),(58,Noth)]",58,Noth,1.0
58,"[(59,Rp),(712,Rp),(1414,Noth)]",712,Rp,0.6666667
59,"[(250,Lp),(314,Lp),(323,Noth),(391,Lp),(550,Noth),(568,Noth),(610,Lp),(675,Lp),(726,Lp),(970,Noth),(1204,Lp),(1304,Lp),(1944,Lp)]",391,Lp,0.6923077
60,"[(61,Noth),(62,Noth),(329,Noth)]",61,Noth,1.0
61,"[(839,Rp),(864,Rp),(876,Rp),(877,Noth),(878,Noth),(879,Rp),(880,Noth),(885,Rp)]",876,Rp,0.625
62,"[(695,Rp),(702,Rp),(944,Noth),(945,Rp),(1268,Rp),(1364,Lp),(1365,Rp)]",1365,Rp,0.71428573
63,"[(64,Noth),(207,Lp),(221,Rp),(260,Noth),(261,Noth),(271,Lp),(338,Noth),(340,Lp),(341,Lp),(449,Lp),(493,Lp),(897,Lp),(898,Lp),(901,Noth),(902,Noth),(1275,Noth),(1278,Lp),(1507,Lp),(1934,Lp)]",1275,Lp,0.57894737
64,"[(63,Noth),(65,Rp),(722,Noth)]",63,Noth,0.6666667
65,"[(66,Noth),(304,Noth),(305,Noth),(331,Noth),(400,Noth),(643,Noth),(645,Noth),(715,Noth),(717,Lp),(749,Noth),(756,Noth),(757,Noth),(847,Noth),(932,Noth),(940,Noth),(1088,Noth),(1091,Noth),(1171,Noth),(1461,Noth),(1464,Noth),(1541,Noth),(1556,Noth),(1561,Noth),(1939,Noth),(1984,Noth),(1986,Noth)]",1091,Noth,0.96153843
66,"[(616,Noth),(617,Noth),(644,Noth),(646,Noth),(647,Noth),(668,Noth),(732,Noth),(733,Noth),(801,Noth),(803,Noth),(804,Noth),(808,Rp),(810,Noth),(811,Noth),(812,Noth),(813,Noth),(814,Noth),(815,Noth),(817,Lp),(819,Lp),(820,Lp),(822,Lp),(1172,Noth),(1177,Noth),(1202,Noth),(1435,Rp),(1952,Noth)]",812,Noth,0.7777778
67,"[(67,Noth),(68,Noth),(73,Noth),(74,Noth)]",68,Noth,1.0
68,"[(69,Noth),(71,Rp),(220,Noth),(269,Rp),(1089,Noth),(1462,Noth)]",1462,Noth,0.6666667
69,"[(70,Noth),(238,Noth),(496,Noth),(1020,Noth),(1169,Noth),(1173,Rp),(1174,Noth),(1175,Noth),(1200,Rp),(1201,Noth),(1272,Noth),(1273,Rp),(1436,Noth),(1459,Rp),(1460,Noth),(1557,Rp)]",70,Noth,0.6875
70,"[(1167,Rp),(1168,Noth),(1439,Noth),(1440,Noth),(1562,Noth),(1985,Noth),(1987,Noth)]",1562,Noth,0.85714287
71,"[(302,Noth),(649,Lp),(651,Lp),(802,Noth),(805,Noth),(807,Rp),(818,Lp),(821,Lp),(823,Lp),(855,Lp)]",818,Lp,0.6
72,"[(870,Noth),(1009,Lp),(1010,Lp),(1011,Lp),(1139,Noth),(1140,Noth),(1141,Rp),(1150,Lp),(1151,Lp)]",1151,Lp,0.5555556
73,"[(978,Lp),(1005,Noth),(1006,Noth),(1007,Noth),(1008,Rp),(1130,Lp),(1133,Lp),(1288,Lp),(1379,Rp),(1959,Noth)]",1006,Lp,0.4
74,"[(363,Lp),(364,Lp),(365,Lp),(867,Rp),(868,Noth),(916,Rp),(919,Rp),(1237,Lp),(1432,Rp),(1467,Lp),(1495,Rp),(1877,Lp),(1897,Lp),(1912,Lp),(1913,Lp),(1971,Lp)]",1897,Lp,0.625
75,"[(54,Noth),(72,Noth),(76,Noth),(655,Lp),(1359,Noth)]",76,Noth,0.8
76,"[(273,Noth),(513,Rp),(1027,Noth),(1030,Noth),(1162,Noth),(1179,Noth),(1281,Noth)]",1281,Noth,0.85714287
77,"[(75,Noth),(77,Noth),(78,Noth),(1872,Lp)]",75,Noth,0.75
78,"[(151,Rp),(388,Lp),(459,Rp),(1290,Rp),(1363,Noth),(1570,Lp),(1583,Lp),(1588,Lp),(1593,Lp),(1658,Rp),(1705,Rp),(1729,Rp),(1894,Noth)]",1290,Rp,0.46153846
79,"[(80,Noth),(370,Noth),(863,Rp),(1478,Rp),(1486,Rp),(1488,Noth),(1491,Noth),(1496,Noth),(1636,Rp)]",80,Noth,0.5555556
80,"[(81,Noth),(84,Noth),(371,Noth),(1487,Noth),(1638,Rp)]",81,Noth,0.8
81,"[(82,Noth),(86,Noth),(360,Rp),(437,Lp),(621,Lp),(762,Lp),(915,Lp),(1023,Lp),(1106,Rp),(1213,Lp),(1215,Noth),(1803,Rp)]",82,Lp,0.5
82,"[(1096,Noth),(1211,Rp),(1489,Noth),(1669,Rp),(1906,Lp),(1989,Rp)]",1989,Rp,0.5
83,"[(998,Noth),(999,Noth),(1000,Noth),(1001,Noth),(1003,Noth),(1132,Lp),(1145,Lp)]",999,Noth,0.71428573
84,"[(83,Rp),(85,Noth),(539,Rp),(953,Rp),(1074,Rp),(1081,Rp),(1095,Rp),(1465,Rp),(1721,Rp),(1724,Rp)]",1465,Rp,0.9
85,"[(470,Lp),(1146,Lp),(1147,Lp),(1149,Lp),(1497,Rp)]",1147,Lp,0.8
86,"[(87,Rp),(208,Lp),(209,Lp),(1430,Rp),(1492,Noth),(1565,Rp)]",1565,Rp,0.5
87,"[(467,Noth),(631,Rp),(636,Noth),(640,Noth),(1138,Noth),(1144,Noth),(1157,Noth),(1158,Noth),(1159,Noth),(1160,Noth),(1441,Lp),(1704,Lp)]",1159,Noth,0.75
88,"[(88,Noth),(89,Lp),(468,Noth)]",89,Noth,0.6666667
89,"[(90,Lp),(469,Noth),(641,Rp),(946,Lp),(1126,Lp),(1369,Lp),(1456,Lp)]",1456,Lp,0.71428573
